CustomersTargeted,Profit
557,-128727.73353478314
558,-129149.42006889205
559,-129571.68549602604
560,-129994.0358678508
561,-130417.5028378573
562,-130840.99059513399
563,-131264.63501357034
564,-131688.4269901677
565,-132112.901720356
566,-132537.86349106455
567,-132963.0749630435
568,-133388.58011351337
569,-133814.14338843318
570,-134239.7997305814
571,-134665.48662188574
572,-135091.2021764972
573,-135517.12676896586
574,-135943.08921519935
575,-136369.22999173193
576,-136795.6016540389
577,-137222.750201254
578,-137650.11603465292
579,-138077.522419958
580,-138505.232089786
581,-138933.32092447224
582,-139361.74956044243
583,-139790.54080232253
584,-140219.61537992593
585,-140648.8476537258
586,-141078.35949778423
587,-141508.06224372712
588,-141937.94919297
589,-142367.90114328577
590,-142797.9373157615
591,-143228.22011194087
592,-143658.83141334562
593,-144089.5573352562
594,-144520.44199022136
595,-144951.4525962073
596,-145382.54326349325
597,-145813.91091682788
598,-146245.4801092066
599,-146677.1490498215
600,-147109.04677266648
601,-147541.1482482581
602,-147973.5051720989
603,-148405.86898062137
604,-148839.1995390952
605,-149272.73381229868
606,-149706.58474451088
607,-150141.05462462857
608,-150575.74982927332
609,-151011.1274970178
610,-151446.61892206763
611,-151882.54729029504
612,-152318.5583394152
613,-152754.89714382667
614,-153191.27285930418
615,-153627.87464400986
616,-154064.6574882519
617,-154501.55279079865
618,-154938.4811710084
619,-155375.43231673972
620,-155812.5841707789
621,-156250.32085613575
622,-156688.18955836544
623,-157126.17153296884
624,-157564.18301839844
625,-158002.34446966022
626,-158440.93823514256
627,-158879.6239848244
628,-159318.53566561712
629,-159757.50387437068
630,-160196.4982715887
631,-160635.73706231997
632,-161075.5156445325
633,-161515.30881410665
634,-161955.4360296066
635,-162395.71945821444
636,-162836.31981216653
637,-163277.03563078554
638,-163718.0481324015
639,-164159.2824397002
640,-164600.6545614242
641,-165042.02857042736
642,-165483.50574088702
643,-165926.62524527384
644,-166369.90744971076
645,-166813.3744546822
646,-167257.15167989783
647,-167701.4218270921
648,-168145.86644156
649,-168590.81159131514
650,-169035.7873748394
651,-169480.8092381617
652,-169926.74265251806
653,-170373.03936189966
654,-170819.52764108707
655,-171266.04429906787
656,-171712.84982537245
657,-172159.66017234972
658,-172606.5159930535
659,-173053.60682898635
660,-173500.7237885006
661,-173948.4380707597
662,-174396.15437446412
663,-174843.89618410944
664,-175291.68284315852
665,-175739.65712187486
666,-176187.74280373982
667,-176636.07929829118
668,-177084.55366601894
669,-177533.11131758787
670,-177981.7411414358
671,-178430.38403964177
672,-178879.2505040381
673,-179328.2709365941
674,-179777.3344110315
675,-180226.41863812116
676,-180675.53992336892
677,-181124.94819889302
678,-181574.4998721305
679,-182024.19490532012
680,-182473.9155789126
681,-182923.72939027907
682,-183373.6250308356
683,-183823.56189161958
684,-184273.97295614556
685,-184724.49282692318
686,-185175.15262244293
687,-185625.81667036266
688,-186076.49858641656
689,-186527.23178200028
690,-186977.97293668255
691,-187428.87517689102
692,-187879.7823798107
693,-188330.98037145627
694,-188782.3338640144
695,-189233.79661619233
696,-189685.5446824251
697,-190137.4365964658
698,-190589.49560715057
699,-191041.63989046434
700,-191494.00919228277
701,-191946.6921459986
702,-192399.70502213688
703,-192852.7479350804
704,-193305.87871961488
705,-193759.39407895648
706,-194213.04421045308
707,-194666.8627937969
708,-195121.1839091283
709,-195575.53333201556
710,-196029.96808033797
711,-196484.5178897375
712,-196939.38191618802
713,-197394.34738402223
714,-197849.40533277407
715,-198305.15511085285
716,-198760.90488893163
717,-199216.6686996732
718,-199672.75142642314
719,-200129.14544144325
720,-200585.56856999468
721,-201042.18551551658
722,-201498.85798219938
723,-201955.5513510917
724,-202412.3210913771
725,-202869.11596848222
726,-203325.9590213697
727,-203782.87866438957
728,-204239.9745707747
729,-204697.21514835433
730,-205154.5520953467
731,-205611.92728934373
732,-206069.79310618693
733,-206528.05898728504
734,-206986.58604600764
735,-207445.11668873657
736,-207903.66806514212
737,-208362.2714218235
738,-208820.92012133822
739,-209279.6673226289
740,-209738.45028426094
741,-210197.26973093144
742,-210656.19553272793
743,-211115.15390023272
744,-211574.17577357913
745,-212033.4612424831
746,-212493.08345905144
747,-212952.73654634223
748,-213412.4383358098
749,-213872.225486962
750,-214332.02225382454
751,-214791.9347022948
752,-215251.98032836302
753,-215712.16904191408
754,-216172.50806349475
755,-216632.90202382655
756,-217093.49639732845
757,-217554.22821373853
758,-218014.9960399593
759,-218475.81487569728
760,-218936.64332744334
761,-219397.49100189013
762,-219858.49010359048
763,-220319.55581438806
764,-220780.66283925847
765,-221241.77869987104
766,-221703.0345088264
767,-222164.58957062318
768,-222626.1999837253
769,-223087.98317739164
770,-223549.87227732167
771,-224011.8684572058
772,-224473.93480282865
773,-224936.4593397832
774,-225399.03661849807
775,-225861.6275005353
776,-226324.2310114112
777,-226786.83564858919
778,-227249.6246691946
779,-227712.44958285216
780,-228175.27859411895
781,-228638.14200850078
782,-229101.22554677984
783,-229564.38763459396
784,-230027.60030764816
785,-230490.9199809197
786,-230954.57980820717
787,-231418.24892064361
788,-231882.1105386767
789,-232346.0950027603
790,-232810.25432078404
791,-233274.54181943013
792,-233738.83093565353
793,-234203.4617678203
794,-234668.11634871422
795,-235132.90617901165
796,-235597.70301582947
797,-236062.5309729985
798,-236527.3820875077
799,-236992.37683012383
800,-237457.38772400568
801,-237922.4202541468
802,-238387.4621269989
803,-238852.60440849938
804,-239317.76245241382
805,-239782.92649834257
806,-240248.27871513093
807,-240713.6807243139
808,-241179.138017753
809,-241644.6034102576
810,-242110.2091112203
811,-242576.5366415025
812,-243043.03926659585
813,-243509.57798304973
814,-243976.3337997891
815,-244443.1126545971
816,-244909.94145757798
817,-245376.79619150067
818,-245843.7749285968
819,-246310.90302625022
820,-246778.11301945316
821,-247245.54822471537
822,-247713.01531120448
823,-248180.52707915465
824,-248648.39617436737
825,-249116.31127566696
826,-249584.53255785423
827,-250052.7659713777
828,-250521.00430932254
829,-250989.6120515258
830,-251458.26958648357
831,-251926.9560384386
832,-252395.66914889382
833,-252864.50552622922
834,-253333.34924892566
835,-253802.20700392465
836,-254271.0942703736
837,-254740.00275933603
838,-255208.93278437865
839,-255677.8870610526
840,-256147.0336843395
841,-256616.18249105982
842,-257085.36518282793
843,-257554.55046569873
844,-258023.8465951524
845,-258493.16317530084
846,-258962.57322196593
847,-259432.02244275415
848,-259901.9407453865
849,-260372.17900626134
850,-260842.44463709998
851,-261312.7303097187
852,-261783.0551450028
853,-262253.61612761905
854,-262724.2062287941
855,-263194.8792199015
856,-263665.6348489117
857,-264136.4966850785
858,-264607.35852124525
859,-265078.25725925737
860,-265549.24851626635
861,-266020.2580658383
862,-266491.2920846423
863,-266962.6144209244
864,-267433.96366915834
865,-267905.523489112
866,-268377.2229552839
867,-268849.0754498308
868,-269321.4584342823
869,-269793.8972795392
870,-270266.4016829596
871,-270739.0810389677
872,-271211.8080793939
873,-271684.58011724945
874,-272157.35976116534
875,-272630.35224011535
876,-273103.6279095417
877,-273577.3181828066
878,-274051.0917195237
879,-274524.93410103704
880,-274998.8416437098
881,-275472.7794816306
882,-275946.8865754141
883,-276421.01119811326
884,-276895.1440701027
885,-277369.3525727297
886,-277843.5731842842
887,-278317.8562261531
888,-278792.1806973527
889,-279266.5844272269
890,-279741.08450750104
891,-280215.6645979261
892,-280690.40833212296
893,-281165.1578755417
894,-281640.0840876566
895,-282115.0358154325
896,-282589.9886280585
897,-283065.0221019285
898,-283540.085517014
899,-284015.30508459534
900,-284490.6197961864
901,-284966.05484972376
902,-285441.5206427412
903,-285917.20163622155
904,-286392.9566595498
905,-286868.7293245448
906,-287344.57568492286
907,-287820.4690499913
908,-288296.5235029094
909,-288772.60837045894
910,-289248.7948696935
911,-289725.1851705382
912,-290201.72935052664
913,-290678.51722616394
914,-291155.58962404134
915,-291632.6683224744
916,-292110.0851251266
917,-292587.73814553884
918,-293065.41968804627
919,-293543.2127479283
920,-294021.17117091425
921,-294499.3751658966
922,-294977.64066950046
923,-295455.91884000646
924,-295934.28797138855
925,-296412.93564128585
926,-296891.7712544267
927,-297370.6541640172
928,-297849.6087393535
929,-298328.81688431255
930,-298808.4314219056
931,-299288.0632560559
932,-299767.99893332896
933,-300248.0035079427
934,-300728.11193706066
935,-301208.25446087454
936,-301688.5420952761
937,-302168.9410082868
938,-302649.4203844241
939,-303129.9912257563
940,-303610.59372965456
941,-304091.2161383796
942,-304571.9182146234
943,-305053.1511617262
944,-305534.39601091994
945,-306015.7964771162
946,-306497.4095739851
947,-306979.0233284315
948,-307460.8186834013
949,-307942.6140383711
950,-308424.4679363821
951,-308906.3908286453
952,-309388.3506415856
953,-309870.3733497821
954,-310352.51035697997
955,-310834.722303515
956,-311316.9398084686
957,-311799.22494637937
958,-312281.51833362103
959,-312763.9191804613
960,-313246.5071445487
961,-313729.0988435292
